Likely running on a server
torch.Size([5000, 1, 32, 32]) torch.Size([5000, 1, 16])
Counter({1: 2544, 0: 2456})
Training without regularization on abnormal samples...
1964 492
No Spectra encoder checkpoints loaded.
No CT scan encoder checkpoints loaded.
Epoch 49  | Train Loss: -4.90183 | Corr: 4.90183
Epoch 49  | Eval Loss: -3.79311 | Corr: 3.79311
Epoch 99  | Train Loss: -5.63134 | Corr: 5.63134
Epoch 99  | Eval Loss: -3.99009 | Corr: 3.99009
Epoch 149 | Train Loss: -5.80194 | Corr: 5.80194
Epoch 149 | Eval Loss: -4.00509 | Corr: 4.00509
Epoch 199 | Train Loss: -5.92584 | Corr: 5.92584
Epoch 199 | Eval Loss: -4.02241 | Corr: 4.02241
Epoch 249 | Train Loss: -5.72110 | Corr: 5.72110
Epoch 249 | Eval Loss: -3.95349 | Corr: 3.95349
Epoch 299 | Train Loss: -5.97796 | Corr: 5.97796
Epoch 299 | Eval Loss: -4.05282 | Corr: 4.05282
Epoch 349 | Train Loss: -5.97972 | Corr: 5.97972
Epoch 349 | Eval Loss: -4.04089 | Corr: 4.04089
Epoch 399 | Train Loss: -5.94116 | Corr: 5.94116
Epoch 399 | Eval Loss: -4.03753 | Corr: 4.03753
Epoch 449 | Train Loss: -5.89155 | Corr: 5.89155
Epoch 449 | Eval Loss: -3.98302 | Corr: 3.98302
Epoch 499 | Train Loss: -5.93691 | Corr: 5.93691
Epoch 499 | Eval Loss: -4.06257 | Corr: 4.06257
