Likely running on a server
torch.Size([5000, 1, 32, 32]) torch.Size([5000, 1, 16])
Counter({1: 2544, 0: 2456})
Training without regularization on abnormal samples...
1964 492
No Spectra encoder checkpoints loaded.
No CT scan encoder checkpoints loaded.
Epoch 49  | Train Loss: -4.84615 | Corr: 4.84615
Epoch 49  | Eval Loss: -3.85069 | Corr: 3.85069
Epoch 99  | Train Loss: -5.55284 | Corr: 5.55284
Epoch 99  | Eval Loss: -4.07069 | Corr: 4.07069
Epoch 149 | Train Loss: -5.78047 | Corr: 5.78047
Epoch 149 | Eval Loss: -4.13259 | Corr: 4.13259
Epoch 199 | Train Loss: -5.88860 | Corr: 5.88860
Epoch 199 | Eval Loss: -4.23761 | Corr: 4.23761
Epoch 249 | Train Loss: -5.87426 | Corr: 5.87426
Epoch 249 | Eval Loss: -4.28868 | Corr: 4.28868
Epoch 299 | Train Loss: -5.92952 | Corr: 5.92952
Epoch 299 | Eval Loss: -4.30952 | Corr: 4.30952
Epoch 349 | Train Loss: -5.92684 | Corr: 5.92684
Epoch 349 | Eval Loss: -4.26554 | Corr: 4.26554
Epoch 399 | Train Loss: -5.96181 | Corr: 5.96181
Epoch 399 | Eval Loss: -4.27360 | Corr: 4.27360
Epoch 449 | Train Loss: -5.86693 | Corr: 5.86693
Epoch 449 | Eval Loss: -4.22124 | Corr: 4.22124
Epoch 499 | Train Loss: -5.96310 | Corr: 5.96310
Epoch 499 | Eval Loss: -4.27576 | Corr: 4.27576
