Likely running on a server
torch.Size([5000, 1, 32, 32]) torch.Size([5000, 1, 16])
Counter({1: 2544, 0: 2456})
Training without regularization on abnormal samples...
1964 492
No Spectra encoder checkpoints loaded.
No CT scan encoder checkpoints loaded.
Epoch 49  | Train Loss: -4.88901 | Corr: 4.88901
Epoch 49  | Eval Loss: -3.71853 | Corr: 3.71853
Epoch 99  | Train Loss: -5.65486 | Corr: 5.65486
Epoch 99  | Eval Loss: -3.92337 | Corr: 3.92337
Epoch 149 | Train Loss: -5.53471 | Corr: 5.53471
Epoch 149 | Eval Loss: -4.06129 | Corr: 4.06129
Epoch 199 | Train Loss: -5.84378 | Corr: 5.84378
Epoch 199 | Eval Loss: -4.05622 | Corr: 4.05622
Epoch 249 | Train Loss: -5.83248 | Corr: 5.83248
Epoch 249 | Eval Loss: -4.03883 | Corr: 4.03883
Epoch 299 | Train Loss: -5.93185 | Corr: 5.93185
Epoch 299 | Eval Loss: -4.02868 | Corr: 4.02868
Epoch 349 | Train Loss: -5.93420 | Corr: 5.93420
Epoch 349 | Eval Loss: -4.14048 | Corr: 4.14048
Epoch 399 | Train Loss: -5.92493 | Corr: 5.92493
Epoch 399 | Eval Loss: -4.12355 | Corr: 4.12355
Epoch 449 | Train Loss: -5.91512 | Corr: 5.91512
Epoch 449 | Eval Loss: -4.14793 | Corr: 4.14793
Epoch 499 | Train Loss: -5.98237 | Corr: 5.98237
Epoch 499 | Eval Loss: -4.09521 | Corr: 4.09521
