Likely running on a server
torch.Size([5000, 1, 32, 32]) torch.Size([5000, 1, 16])
Counter({1: 2544, 0: 2456})
Training without regularization on abnormal samples...
1964 492
No Spectra encoder checkpoints loaded.
No CT scan encoder checkpoints loaded.
Epoch 49  | Train Loss: -4.78521 | Corr: 4.78521
Epoch 49  | Eval Loss: -3.69825 | Corr: 3.69825
Epoch 99  | Train Loss: -5.50131 | Corr: 5.50131
Epoch 99  | Eval Loss: -3.87707 | Corr: 3.87707
Epoch 149 | Train Loss: -5.70895 | Corr: 5.70895
Epoch 149 | Eval Loss: -3.91577 | Corr: 3.91577
Epoch 199 | Train Loss: -5.84476 | Corr: 5.84476
Epoch 199 | Eval Loss: -3.91851 | Corr: 3.91851
Epoch 249 | Train Loss: -5.90435 | Corr: 5.90435
Epoch 249 | Eval Loss: -3.96284 | Corr: 3.96284
Epoch 299 | Train Loss: -5.95831 | Corr: 5.95831
Epoch 299 | Eval Loss: -3.95280 | Corr: 3.95280
Epoch 349 | Train Loss: -5.97235 | Corr: 5.97235
Epoch 349 | Eval Loss: -4.01948 | Corr: 4.01948
Epoch 399 | Train Loss: -5.95630 | Corr: 5.95630
Epoch 399 | Eval Loss: -3.91075 | Corr: 3.91075
Epoch 449 | Train Loss: -5.85777 | Corr: 5.85777
Epoch 449 | Eval Loss: -3.77681 | Corr: 3.77681
Epoch 499 | Train Loss: -5.99070 | Corr: 5.99070
Epoch 499 | Eval Loss: -3.95090 | Corr: 3.95090
