Likely running on a server
torch.Size([5000, 1, 32, 32]) torch.Size([5000, 1, 16])
Counter({1: 2544, 0: 2456})
Training without regularization on abnormal samples...
1964 492
No Spectra encoder checkpoints loaded.
No CT scan encoder checkpoints loaded.
Epoch 49  | Train Loss: -5.20795 | Corr: 5.20795
Epoch 49  | Eval Loss: -4.41052 | Corr: 4.41052
Epoch 99  | Train Loss: -5.52636 | Corr: 5.52636
Epoch 99  | Eval Loss: -4.28132 | Corr: 4.28132
Epoch 149 | Train Loss: -5.72518 | Corr: 5.72518
Epoch 149 | Eval Loss: -4.32995 | Corr: 4.32995
Epoch 199 | Train Loss: -5.83969 | Corr: 5.83969
Epoch 199 | Eval Loss: -4.42168 | Corr: 4.42168
Epoch 249 | Train Loss: -5.84924 | Corr: 5.84924
Epoch 249 | Eval Loss: -4.33421 | Corr: 4.33421
Epoch 299 | Train Loss: -5.87183 | Corr: 5.87183
Epoch 299 | Eval Loss: -4.31989 | Corr: 4.31989
Epoch 349 | Train Loss: -5.86060 | Corr: 5.86060
Epoch 349 | Eval Loss: -4.27598 | Corr: 4.27598
Epoch 399 | Train Loss: -5.95083 | Corr: 5.95083
Epoch 399 | Eval Loss: -4.29575 | Corr: 4.29575
Epoch 449 | Train Loss: -5.95477 | Corr: 5.95477
Epoch 449 | Eval Loss: -4.34062 | Corr: 4.34062
Epoch 499 | Train Loss: -5.91580 | Corr: 5.91580
Epoch 499 | Eval Loss: -4.33354 | Corr: 4.33354
