Likely running on a server
torch.Size([5000, 1, 32, 32]) torch.Size([5000, 1, 16])
Counter({1: 2544, 0: 2456})
Training without regularization on abnormal samples...
1964 492
No Spectra encoder checkpoints loaded.
No CT scan encoder checkpoints loaded.
Epoch 49  | Train Loss: -4.76525 | Corr: 4.76525
Epoch 49  | Eval Loss: -3.83411 | Corr: 3.83411
Epoch 99  | Train Loss: -5.53010 | Corr: 5.53010
Epoch 99  | Eval Loss: -3.97136 | Corr: 3.97136
Epoch 149 | Train Loss: -5.79946 | Corr: 5.79946
Epoch 149 | Eval Loss: -4.01041 | Corr: 4.01041
Epoch 199 | Train Loss: -5.89403 | Corr: 5.89403
Epoch 199 | Eval Loss: -4.12492 | Corr: 4.12492
Epoch 249 | Train Loss: -5.88129 | Corr: 5.88129
Epoch 249 | Eval Loss: -4.12152 | Corr: 4.12152
Epoch 299 | Train Loss: -5.94724 | Corr: 5.94724
Epoch 299 | Eval Loss: -4.17732 | Corr: 4.17732
Epoch 349 | Train Loss: -5.77732 | Corr: 5.77732
Epoch 349 | Eval Loss: -4.19208 | Corr: 4.19208
Epoch 399 | Train Loss: -5.93197 | Corr: 5.93197
Epoch 399 | Eval Loss: -4.15874 | Corr: 4.15874
Epoch 449 | Train Loss: -5.94963 | Corr: 5.94963
Epoch 449 | Eval Loss: -4.11730 | Corr: 4.11730
Epoch 499 | Train Loss: -5.98139 | Corr: 5.98139
Epoch 499 | Eval Loss: -4.17567 | Corr: 4.17567
